text_clean,label_bin
compre este producto y me llego a casa un parche para la ropa,Negativo
está muy chula aunque se le rompió un enganche con la primera puesta lo tuve que coser a la fuerza,Positivo
utilizo placa de inducción siemens y cuál no sería mi sorpresa con esta parrilla que sólo puedo usarla en la zona circular que mide exactamente igual a la base circular de la parrilla cm si quiero ponerla en otra zona más grande solo centímetros más o sea cm no funciona cosa rarísima pues absolutamente todos los utensilios que tengo para inducción puedo ponerlos en zonas más grandes sin ningún problema además tarda mucho en calentarse alguien podría decirme el motivo por favor amazon no puedo preguntarlo al fabricante en este caso,Positivo
compra rechazada y anulada por la pésima gestión de entrega inexistente por parte de dhl muy decepcionado nada probable un nuevo intento,Negativo
sustituye los ambientadores en spray que tenía en casa cada día un aroma distinto funciona a la perfección lo enchufas lo programas y te olvidas,Positivo
no encaja en las patillas de mis gafas así que una compra inútil solo apto para algunas gafas,Negativo
yo le devolví porque era muy pequeño para mi,Negativo
el producto ha llegado en perfectas condiciones pero es una lástima porque no cubre toda la pantalla del samsung galaxy j los lados de la pantalla quedan sin cristal pensaba que iba a ser un cristal que cubriría toda la pantalla,Negativo
cumple con la descripción,Positivo
la carcasa es muy opaca no un poco y el plástico protector para el teclado es extremadamente opaco tengo otro de otro fabricante y basta ver la diferencia muy mal con la descripción de si es traslúcido o no una lastima,Negativo
muy bonitos zapatos muy bonitos son como los que el fabricante indica tardaron dos semanas en su entrega pero recomendable son muy bonitos,Positivo
está muy bin que se coloquen de forma anatómica y mejora la comodidad y el sonido como pate más negativa la caa para guardar los audífonos es complicada y no fácil de quedar como en principio viene,Positivo
no es eléctrico y cuando pasa el tren suena sí pero muy bajito a mi hijo le encanta igualmente y a mí el hecho que no sea eléctrico es un punto a su favor,Positivo
todo ha ido muy bien llegó en tienpo y en buen estado recomendable empresa muy seria no dudéis en comprar,Positivo
llego en la fecha prevista y es tal como aparece en la foto a pesar de tener dos opcions diferentes una de diámetro más pequeño y otra más grande en las manillas de las puerta de mi casa no entra a pesar de calentarlo con agua caliente no se dilata lo suficiente,Negativo
hola es justo lo que dice cumple a la perfeccion muy buen aparato lo recomiendo a todos sin objecion ok,Positivo
no me a gustado nada instrucciones y el sonido en otro idioma no me da sensación de esterilizar,Negativo
la textura es muy buena,Positivo
llego antes de lo previsto muy suave tamaño correcto me llegó como un paquete de correos ordinario,Positivo
yo la he usado para que los niños no puedan acercarse demasiado a la chimenea está muy bien pero ocupa mucho espacio por lo que si el salón no es muy grande yo me lo pensaría,Positivo
me gustan bastante aunque la calidad es un poco baja para lo que se espera de una baraja así también he echado de menos que viniera con el libro de instrucciones pues solamente vienen las cartas pero sin el libro por lo demás están muy bien y son preciosas,Positivo
falta la funda para protegerla de la lluvia espero recibirla cuanto antes,Negativo
contento son más bonitos que en la foto buenos acabados con todo detalle los recomiendo los cajones botones compartimentos y cerradura están hechos con buen gusto,Positivo
el formato es peor de lo que me imaginaba van envueltas en un sobre papel que ya apareció roto en cuanto lo abrí no lo volvería a comprar me iría a la versión de caja de plástico sin ninguna duda,Positivo
buenas opcion para divertirse en la playa o en la piscina llego en la fecha indicada y en buen estado,Positivo
muy descontenta con el producto de mala calidad tras tres lavados las sabanas tienen unas rayas negras de los hilos,Negativo
funciona perfectamente era un regalo y ha gustado muchísimo a los niños como puntos negativos es que no se puede regular el volumen de la música y puede ser algo molesto además dejó de funcionar a las pocas semanas sin saber por qué,Negativo
son muy bonitos aunque no son los que había pedido ya que yo quería negro y blanco y me han traído rojo y blanco,Positivo
fue para regalo y le encantó,Positivo
súper fácil de armar y muy liviana un en eso pero para mi no fue suficientemente confortable como siempre todo cuestión de gustos,Positivo
me parece muy bonito es bueno suena bien fácil de utilizar solo una pega el nivel mínimo sueno mucho solo eso,Positivo
no merece la pena y encima el envío fatal dos de los tres silbatos que son de cerámica llegaron rotos ya que no se preocuparon en proteger lo más mínimo el paquete y lógicamente no soportaron el envío e insisto llegaron rotos el vendedor oídos sordosen fin bastante defraudado con esta compra,Negativo
botas muy rígidas nada cómodas pero que calientan mucho y protegen también muy bien para mi gusto la comodidad es primordial y por eso no me han gustado,Negativo
no están mal pero para ese precio encontré en un bazar chino unas mucho más reforzadas y con mucho más correa para regular la longitud,Positivo
muy decepcionado con el servicio de entrega ya que se negaron a dejarlo en el domicilio por no entrar en el ascensor y lo dejaron en el portal,Positivo
lo compré porque la idea de una ventosa capaz de adherirse a superficies rugosas me pareció un invento genial el soporte cumple con su prometido aunque hay que pegarlo bien antes de levantar la palanca que hace que la ventosa se pegue bien y no forzar mucho los primeros segundos lo que me ha decepcionado un poco es que a los pocos días vi que en las típicas tiendas de regalos se han puesto de moda este tipo de soportes y se pueden encontrar más modelos por unos mientras este costaba más de cuando lo compré,Positivo
aún no he abierto la caja porque es para un regalo pero supongo que siendo un artículo de playmobil vendrá todo correcto aún así quiero transmitir mi disconformidad y malestar por el mal empaquetado como ya otra gente ha referido la pegatina viene puesta directamente sobre la caja haciendo imposible quitarla sin dañar la caja y además el mensajero me entrego la caja rota como pueden ver en la foto no hago devolución ya que me corre prisa pero si no lo devolvería sin duda me parece poco serio que con el precio que tiene no tengan la molestia de introducirlo en una caja,Negativo
no funciona el mando,Negativo
es más potente de lo que me esperaba,Positivo
el producto no se corresponde con la foto no es original de xiaomi mi ya veremos como funciina a lo largo de un tiempo pero repito el producto recibido no corresponde con la foto,Negativo
queda perfecta lo malo que la mia me vino descolorida como gastadaal ser nuevo el móvil me tuve que quedar con ella,Positivo
un año y ha dejado de funcionar me gustaría saber si tienen garantía,Negativo
el pedido llegó en una caja abierta la caja en la que está empaquetada la abrazadera está dañada por un lado el anillo en el tornillo de sujeción está arrugado lo que hace que sea imposible fijar la abrazadera de forma segura sobre la mesa,Negativo
es una buena funda aunque se le quedan las huellas con facilidad,Positivo
lo que más me gusta de estos turbantes son sus estampados tan atrevidos con un toque vintage que puedo combinar con cualquier prenda la goma es elástica la cual se amolda a tu cabeza al principio aprieta un poco pero luego la goma cede son tal cual las imágenes en la parte superior puedo modificar el grosor de la diadema pues va unida en dos terminaciones en forma de recoge muy bien el pelo,Positivo
una opinión de persona con reconocimiento,Positivo
resuelve el problema de llevar las gafas y las llaves del coche cuando vas a nadar al mar es muy llamativa y se ve a mucha distancia además da la seguridad de que si te agotas te puedes coger a la boya si tuviese una rejilla para por ejemplo llevar una botella de agua accesible tendría las estrellas,Positivo
para su precio no se puede pedir mucho más bueno si que al menos la batería durase un poco más,Positivo
suelo usar talla l y es la que pedí me ha venido perfecto ni me aprieta ni me queda grande es súper cómodo y se ajusta muy bien te hace un pecho muy bonito y a parte es muy funcional ya que son para deporte aunque también se pueden usar para el día a día y no se te mueven los pechos o te molestan así que lo recomiendo muchísimo ya que lo tiene todo comodidad bonito barato y de buena calidad,Positivo
buena calidad precio,Positivo
la boya interior no cerraba gracias a amazon que se hizo cargo de la reclamación porque con el proveedor no llegue hablar y el producto no era malo,Negativo
acabo de recibir el producto recibir por decir algo un repartidor de amazon se intento poner en contacto conmigo y al estar en el trabajo y no poder localizarme sin intentar dejarlo a algún vecino como en otras ocasiones lo han dejado en la puerta de la casa en el suelo cualquiera que hubiese pasado se lo podía haber llevado una entrega de estrellas que no puedo evaluar puesto que amazon no me deja poner estrellas negativas sobre el producto poco puedo decir aunque entiendo que no tiene el vendedor ninguna culpa y que toda la culpa es del repartidor de amazon que ha creído conveniente dejarlo en la puerta durante horas hasta que he llegado a casa tampoco sé si le falta algo al paquete ya que este no estaba abierto pero se podía sacar la manguera por el lateral de hecho así la he sacado la valoración del producto no la puedo hacer aun puesto que no lo he usado y con la opinión vengo a expresar mi malestar con amazon y con el incompetente del repartidor,Positivo
el collar cumple con la descripción del producto y funciona perfectamente se adapta muy bien al cuello de mi perrita es una yorkshire de kg y de tamaño le va bien pero no le hace mucho efecto sigue ladrando,Positivo
son chulisimos como dice mi hijo y qudan genial,Positivo
yo me he comprado esta camara para vigilar a la niñarecien nacida al salir a hacer cosas la puedo vigilar y quedarme tranquilo y como se puede mover la camara mediante la app no pierdo ningun angulo si la coloco mal d,Positivo
no llego embalado solo la caja tal y como se ve en la foto mandar una placa base tan delicada en esas condiciones encima del precio que tiene el producto en si un crimen la verdad tampoco la caja por dentro viene con proteccion de algún tipo de acolchadofunciona bien por ahora no me ha dado problemas,Positivo
no es de una calidad excepcional pero sí que es funcional para usarlo ocasionalmente cumple su función,Positivo
super originales no aparenta están muy bien,Positivo
por la cantidad de reguladores que había gran gama cromática la calidad buena y los resultados también,Positivo
es de mejor calidad de lo que esperaba puesto en la pared todavía se ve mejor la única pega es que al pulsar echa poca cantidad de jabón pero con pulsar un par de veces es suficiente en la mayoría de las ocasiones,Positivo
super suave te arrastra toda la suciedad y como es tan suave no te hace nada de daño,Positivo
me llegó antes de la fecha de momento me va bien estoy contento x la compra calidad precio buena,Positivo
buena correa para reloj xiami mi band ajusta perfectamente y la calidad es buena,Positivo
sencillamente no funciona tengo un labrador y he lavado sus mantas creerme tenían muchos pelos no ha quedado dentro de este utensilio ni uno una verdadera mentira muy decepcionada,Negativo
compré este disco por la gran capacidad de almacenamiento y resulta que no funcionaba era reacondicionado probé con carcasas externas y el disco hacía pitidos cortos cada segundos ni siquiera empezaban los platos a girar devuelto a los minutos de haberlo recibido tiempo record para mi si le doy estrellas y no una es porque me devolvieron la totalidad del dinero y no me cobraron gastos de devolución,Negativo
perfecto ideal para llevar en el bolso o meter tarjeta los colores muy bonitos lo recomiendo llego antes de tiempo,Positivo
se me ha mojado un poco en un día de lluvia y se me está levantado las esquinas,Positivo
buena compra y facil de usarla acabo de estrenar con unos nuggets con patatas y las patata finas salen crujientes como con aceite pero al no llevar grasa resulta menos pesada la comidaal no llevar aceite te puede parecer el sabor distinto al principio hay q precalentar minut la freidora y luego poner la comida menos mal que pedi la mas pequeña porque es bastante grandeno la esperaba tan grandeya llevo mes y medio con ella y estoy encantada es rápidacómoda no manchas la cocinalos pimientos asados se hacen rápido y buenísimos y los bizcochos salen estupendoshe comprado el pack de accesorios y es muy práctico me alegro de haberla comprado ahora haces comida sana en menos tiempo y manchas menos y no tienes olores en la cocinahay que ir probando los tiempos para adaptarlo al gusto de cada uno,Positivo
el protector se ajusta bien y la parte superior del altavoz lo cubre muy bien pero me fastidia bastante burbujas que no se quitan cada una en una esquina lo puse con mucho cuidado y esas cuatro burbujas me ha sido imposible quitarlas la pantalla también me ha perdido algo de sensibilidad aunque la protección se nota que es buena,Negativo
moldura de gafas muy frágil y los cristales dan dolor de cabeza,Negativo
es bonito lo malo es que con el paso del tiempo se van deshilando un poco,Positivo
rapidez en el envio quedan perfectas en el aspirador recomendable el proveedor lo volveré a pedir cuando los necesite gracias,Positivo
se ha roto y solo tiene un mes que pasa,Negativo
producto taly como se anunciael envio estuvo en el plazotodo sin problemas y mas barato que en las tiendasperfecto todo,Positivo
la navaja esta bien pero tiene un defecto y es que los tornillos de la empuñadura tienen tendencia a aflojarseyo ya he perdido dos y encontrar otros iguales no es fácil todavía los estoy buscando ya que no solo sujetan los embellecedores si no que también las herramientas adicionales están sujetos a ellos,Positivo
no me ha gustado porque no lo tengo pero se han retrasado y eso que tenían aproximadamente un año días de margen,Negativo
ya tenia unos tirantes iguales en rojo,Positivo
envio muy rapido y sin problemas la radial es muy manejable al ser fina y con un peso adecuado,Positivo
es un protector que deja la piel muy grasa,Negativo
producto parece interesante a primera vista envio muy rapido y descripcion precisa del vendedor ningun problema a priori por lo menos de momento,Positivo
es una m no vale para nada cuando activas el bluetooth te bloquea hasta el teléfono,Negativo
he usado este producto y me duró poco más de un mes puesto cuando lo quité me dí cuenta de que solo pegaba el borde del cristal templado no lo recomiendo,Negativo
el producto nos llego bien lo unico que observamos que la pinza es muy endeble y puede ser que se rompa pronto la parte que sujeta el movil sirve para moviles grandes como note o mate,Positivo
este dron me ha gustado porque es ideal para iniciarse en el control de drones es bastante resistente le he dado varios golpes antes de cogerle el tranquillo y sigue funcionando perfectamente tiene protección tanto en las aspas como en la base por lo que si desciende demasiado rápido o le das con una pared no se estropea lo recomiendo si nunca has pilotado un dron además las baterías duran algo más de lo que dicen unos minutos así además de que se recargan más rápido de lo que dicen cabe destacar que el mando funciona a pilas pero que te las incluyen lo que es un detalle agradable,Positivo
el embalaje del producto era pésimo siendo un producto que puede romperse con facilidad las pestañas que posee me parece que el embalaje es nulo llegó perforado y el producto roto sin encontrarse la pieza rota dentro del embalaje por lo que da a entender que el producto perforó el embalaje y se fracturó me he puesto en contacto con el vendedor y no he obtenido respuesta he vuelto a presentar una reclamación,Negativo
no es nada buena aparentemente cuan nos llegó nos pareció que estaba bastante bien pero con nada de tiempo de uso está dando un resultado pésimo,Negativo
muy bonitafue un regalo para mi pareja y le ha encantado,Positivo
estás bien un poco pesado,Positivo
no me han dado el resultado que pone con lo que precio es caro,Negativo
perfecto en casa está continuamente conectado porque es valido para los tres tipos de moviles que tenemos lo recomiendo,Positivo
los sharpies me encantan los utilizamos para todo y de todos los colores van muy bien si trabajas en superficies bien limpias sin grasa o con una ligera textura de lo contrario se borra muy rápido y hay que estar repasando por ejemplo las fiambreras del cole,Positivo
son de buena calidad y el precio bastante razonablelos recomiendo sin duda son para el modelo de varilla recta no de gancho,Positivo
alumbran bien un poco menos que las halogenas y no tiemblan,Positivo
tiene los acabados de la tela y las cuerdas malosla casa y el cesto muy pequeña no cabe el gato,Negativo
es muy chula aunque el color de las patas de la mesa tower no coincide con el color de las sillas tower y es perfecta para sillas,Positivo
comprado hace más de un año y sigue en perfecto estado,Positivo
no me gusta como juego los críos lo pasan bien al principio pero o son casi adultos o es prácticamente imposible que lo puedan preparar ellos total que se convierte en algo para jugar de vez en cuando porque requiere de un adulto que esté continuamente preparando el juego y ellos solos se aburren tiene cierta gracia lo del sensor pero la calidad de los materiales no es buena,Negativo
con un mes ya ha pasado la grantia de amazon,Negativo
en mi caso opel vectra c gts no vale no hace presión ni fuerza para sacar nada,Negativo
no es lo que me esperaba ya que es de tipo goma flexible y buscaba algo más robusto y con más protección,Negativo
nunca lo he recibido me habéis devuelto el importe pero no sustituido por otro productor de la misma gana,Negativo
sencillo no trae demasiadas explicaciones muy basico,Positivo
bascula muy precisa la he utilizado para pesar pollitos y la verdad que muy bien me ha gustado la recomiendo,Positivo
deje un comentario y me lo rechazaron la crema venía abierta en el paquete de amazon venía sin el típico plástico de seguridad no lo volveré a comprar me siento estafada,Negativo
fue perfecta para el bebé no paraba de moverse durmiendo y con el arrullo no se despertaba,Positivo
me llego y a los dias ya dejo de funcionar pero fueron muy atento y me rembolsaron el dinero muy rápido un por su seriedad,Positivo
para el precio que tiene esta muy bien eso si si le pones mucho peso de un lado se puede caer,Positivo
guapísimas un pelin pequeñas pero el coche cambia al,Positivo
cumple descripción y de momento no falla en caso de que lo haga cambiaré el voto viene muy bien ese ratón extra,Positivo
el muñeco es como me lo esperaba pero ha llegado con la caja arrugada y es para un regalo,Positivo
lo voy a devolver no tiene ninguna marca estetica de uso pero el sensor de proximidad falla de vez en cuando sobre todo en las llamadas la bateria viene a un de capacidad lo cual es incomprensible ya que no vale tanto poner una nueva,Negativo
en la realidad parecen mas bastos que en el anuncio al menos mi idea era de unos guantes elegantes para vestir y los que he recibido son un poco gruesos sin gracia eso si abrigan mucho y son táctiles los voy a usar para hacer deporte las costuras están bien acabadas y el tejido se ve resistente permite la flexibilidad de la mano,Positivo
es un producto falso,Negativo
venia mal cosida la cremallera y no se pudo utilizar devuelta y pensándome si intentar comprar otra por si fue un defecto concreto,Negativo
buen cristalpero no cubre totalmente la pantalla del movil,Positivo
tiene unos gráficos preciosos muy real a mi hijo no es el juego que más le gusta pero merece la pena echar el ratillo,Positivo
me ha gustado mucho colores luminosos fáciles de usar muy buena relación calidadprecio los recomiendo,Positivo
me ha gustado la funcionalidad pero es demasiado endeble hay que tener mucho cuidado a la hora de meter la ropa dentro yo me he cargado uno sin estrenar,Positivo
la idea del protector es buena pero no pega suficientemente bien a la pantalla el pegamento de los bordes es escaso además se pierde sensibilidad y no funciona igual el desbloqueo con la huella y la navegación en general,Positivo
ha llegado defectuosa no tiene apenas fuerzame pongo en contacto con ellos y ni caso cada vez peor amazonantes no era asi en fin,Negativo
la opción de compra de libros es muy cómoda en minutos desde cualquier lugar me permite realizar la compra y recibirlo al día siguiente simplemente espectacular,Positivo
trípode bastante robusto y de buena calidad el único inconveniente es la rótula que va bastante pillada,Positivo
necesitaba unas patas para los somieres y estás son perfectas muy recomendables y un precio excepcional,Negativo
para el verano no recomendable no es nada fresco más bien da calor lo único bueno es que está bien acolchado,Positivo
un clásico de toda la vida huele muy bien encargo de cristal se conservan mejor el olor volvería a repetir,Positivo
cable de bastante calidad viene muy buen presentado en una caja que deja ver que estamos antes un cable premium el funcionamiento es perfecto en un televisor k uhd con un reproductor uhd,Positivo
elas mallas están muy bien se sienten cómodas y aunque se ajustan no aprietan el único pero que les encuentro es la falta de un bolsillo interior,Positivo
el articulo es espectacular el reparto todo lo contrario no me lo entregaron en mano lo echaron en el buzon y me lo quitaron y me lo tuvieron que mandar otra vez sin coste para mi gracias a dios pero me lo volvieron a dejar en el buzon la segunda vez tube mas suerte y pude recojerlo,Positivo
buena relación calidad precio hace tiempo que la tengo y estoy contenta con ella,Positivo
se ha descosido por los lados,Negativo
pensaba que era más antideslizante poniendo pegado al mueble no se mueve no es tipo alfombra el agua que cae no lo absorbe quiero decir hubiese preferido otro material aún y todo queda bien y se limpia fácil,Positivo
es un tejido que no esperaba y no lleva correa bandolera,Negativo
no cortar por la línea q marca si no la has cagado pero bien hay q cortar lo más al final posible para después poder cojer y abrirlas,Positivo
para ropa de bebé las perchas son muy grandes pero son agradables al tacto y las prendas no se deslizan,Positivo
lo mejor es enigma el juego es muy simple y aburrido para un niño de años,Negativo
no cubre el de la pantalla no me a gustado,Negativo
compre esta funda para regalar le gusto mucho el color y queda como un guante en su ipad air asi que ha sido una buena compra gracias por la rapidez de entrega llego al dia siguiente de pedirla,Positivo
no me ha llegado todavía el artículo imposible valorar el producto porque no lo tengo opinión muy mala de momento,Negativo
funciona muy bien con los aguacates que estén en su punto si están muy blandos o muy duros no tanto aunque si es así los tiro también es un poco difícil de limpiar al menos que lo hagas enseguida se queda aguacate entre las rejas por las partes más pequeñas y no cabe bien el estropajo pero si lo haces enseguida se limpia mejor,Positivo
producto como el anterior comprado excelente,Positivo
todo perfecto y según descripción,Positivo
ideal para spray de defensa de cm de altura tarda en llegar pero merece la pena resiste muy bien llevarlo en el cinturón lo aconsejo para funcionarios,Positivo
no parecen de mala calidad pero pensé que eran algo mas grandes,Positivo
esta bateria solo ha durado dos meses enciendo el telefono al de bateria y a los diez minutos se apaga por bateria baja,Negativo
la funda es blanda poco rigida especialmente cuando la coges por el asa dificultando un poco dificil una buena sujeción la he devuelto y me han reembolsado el dinero sin problemas,Positivo
no me funciona con el samsung watch active solo carga si lo conecto apagado si está encendido marca que está cargando pero nunca sube el porcentaje de batería y se calienta sin cargar,Negativo
de las pizarras que he comprado vienen con el plástico que las cubre abierto y sin rotulador en cuanto a la pizarra esta bien tal como se describe en el anuncio,Positivo
bien solamente de nueva en poco tiempo ha bajado la capacidad de la batería muchísimo a un cuarto aproximadamente de la capacidad inicial,Negativo
rompio muy facilmente poniendola,Negativo
buena perforadora aunque a mi no me sirvió para el uso que yo quería darle cortar papel celofán corta el papel normal perfectamente,Positivo
no mucha calidad nada mas que decir,Positivo
muy malla recibí envuelta en plástico dentro de un sobre en vez de en su caja como pone el anuncio,Negativo
ya he tenido antes otros cortadores de los típicos con rueda más pequeña pero no me habían acabado de convencer al pasarlos no terminan de cortar bien y se desplaza el queso hacia los lados así que probé con este con la esperanza de que fuera mejor y ha sido así la rueda es grande y corta bien sin presionar mucho y me ha gustado la facilidad para lavarlo se desmonta de manera muy sencilla las instrucciones están en la propia cajita en la que viene y se lava sin problemas hasta ahora muy contento,Positivo
ideal para colocar botes lo he puesto en el lavadero,Positivo
muy bien me canta es para mi hijas,Positivo
no funcionaba pero la devolución del producto ha sido rápida y sin ninguna pega así que miraré otro producto similar,Negativo
conecté un arcón frigorífico pero sólo mide el tiempo cuando hay consumo compresor en marcha así que es imposible calcular el consumo medio ya que habrá momentos en los que el compresor esté parado lo he solucionado midiendo el tiempo real con un reloj lo positivo es que el tiempo registrado en el aparato da una idea de las horas que realmente trabaja el arcón no le doy las estrellas por lo escueto del folleto de instrucciones y por no incorporar una tecla de puesta a cero para iniciar una nueva medida hay que usar el botón de reset y configurar de nuevo el precio del kwh,Positivo
aunque el diseño es atractivo y parece resistente al uso me temo que tiene varios aspectos que no terminan de convencerme y mucho menos para un teclado gaming las teclas hay veces que se atascan y está todo el rato escribiendo el mismo carácter o hay veces que si escribes muy deprisa deja de escribir y no salen las últimas letras tampoco es cómodo escribir con las teclas tan altas duras y puntiagudas el teclado en sí pesa demasiado poco y se desliza los caracteres iluminados sólo son efectivos si los miras justo desde arriba mientras que desde una distancia normal sólo se ve la tercera parte del carácter no muy útil,Negativo
estoy muy satisfecho con el bolso es resistente y muy útil,Positivo
lo uso para una caravana con una bateria de y va muy bien,Positivo
muy facil de instalar y configurar todo en cinco minutos el nivel de sensibilidad para la vibracion en porque en salta sola muy amenudo,Positivo
se lo regalé a mi hija para su tercer cumpleaños error ahora con añitos es cuando empieza a jugar se entretiene mucho porque tiene muchas combinaciones posibles como dato negativo pienso que hay demasiadas piezas muy pequeñas en general contento,Positivo
llegó antes de la fecha prevista y de tamaño son perfectos para lo que yo quería el vendedor muy amable al ponerse en contacto conmigo,Positivo
tengo fundas más rígidas para los objetivos pero también quería una opción un poco más suave para evitar que les entre polvo y aprovechar también para usarlos en el cinturón para poder guardar otras cosas como baterías tarjetas etc la verdad que para el precio que tienen es muy buena compra tiene buenos acabados,Positivo
lo que esperaba buenos materiales y bien afilados,Positivo
limpia bastante bien aunque no he conseguido una limpieza profunda hasta la segunda aplicación el problema es que tiene un olor muy profundo y dicho olor dura bastante hay que ventilar bien sino es bastante desagradable,Positivo
muy prácticas para labores de bricolaje limpieza y jardinería son ligeras prácticas y se adaptan muy bien a la cara,Positivo
el inhalador está bien pero el enganche a la luz no me vino el europeo tengo que comprar un adaptador,Negativo
se sale el agua si no deja la botella completamente de pie parece que no termina de cerrar bien la rosca del tapón y pone todo chorreando,Negativo
demasiado grandes y calidad algo que desear me los esperaba de otra forma no repetiré comprando este producto nunca jamas,Negativo
esta un poco descosido de algun lado,Negativo
me gusta mucho comodo y lo usan facilmente los niños a su gusto pica hielo tambien,Positivo
todavía no la he usado pero hice una prueba y aparentemente el corte quedaba genial cuando realice los trabajos que tengo que hacer ya ampliare mi opinión,Positivo
un poco difícilde entenderlo,Negativo
se ajusta perfectamente al cabecero sin moverse y la parte donde va la tablet es ajustable y hace la presión suficiente para que no se caiga ni escurra con los baches,Positivo
si tenéis el oído duro es un inconveniente ya que no tiene mucha potencia por contra aisla bastante del exterior así que si no tenéis problemas serios es mas que suficiente por lo demás sincroniza fácilmente y quizás no tenga unos bajos muy poderosos para música no es lo mejorpero es que para música el bluetoothno vale en general buena compra,Positivo
falta de lacado y grieta en la pintura mal acabado,Negativo
en general están bien no son muy robustos pero son prácticos para guardar cosas que no pesen demasiado yo lo he colgado en la pared aunque el producto no está pensado para eso pero a mi me ha cumplido con la función que estaba buscando,Positivo
la broca guía para las coronas estrechas vino torcida me parece un producto de una calidad media esperaba un producto mejor,Negativo
